name,owner,stargazers,pullRequests,allIssues,closedIssues,primaryLanguage,createdAt
django-rest-framework,{'login': 'encode'},{'totalCount': 28820},{'totalCount': 2976},{'totalCount': 0},{'totalCount': 0},{'name': 'Python'},2011-03-02T17:13:56Z
croc,{'login': 'schollz'},{'totalCount': 28803},{'totalCount': 228},{'totalCount': 520},{'totalCount': 513},{'name': 'Go'},2017-10-17T15:20:18Z
css-protips,{'login': 'AllThingsSmitty'},{'totalCount': 28799},{'totalCount': 69},{'totalCount': 60},{'totalCount': 59},,2015-08-29T12:29:03Z
docsify,{'login': 'docsifyjs'},{'totalCount': 28791},{'totalCount': 691},{'totalCount': 1276},{'totalCount': 1133},{'name': 'JavaScript'},2016-11-20T07:55:43Z
surrealdb,{'login': 'surrealdb'},{'totalCount': 28742},{'totalCount': 1813},{'totalCount': 1942},{'totalCount': 1268},{'name': 'Rust'},2021-12-09T15:03:29Z
todomvc,{'login': 'tastejs'},{'totalCount': 28731},{'totalCount': 760},{'totalCount': 784},{'totalCount': 661},{'name': 'JavaScript'},2011-06-03T19:56:33Z
lux,{'login': 'iawia002'},{'totalCount': 28717},{'totalCount': 296},{'totalCount': 1046},{'totalCount': 539},{'name': 'Go'},2018-02-24T11:29:03Z
lighthouse,{'login': 'GoogleChrome'},{'totalCount': 28714},{'totalCount': 5312},{'totalCount': 9091},{'totalCount': 8539},{'name': 'JavaScript'},2016-03-08T01:03:11Z
consul,{'login': 'hashicorp'},{'totalCount': 28702},{'totalCount': 13520},{'totalCount': 5499},{'totalCount': 4265},{'name': 'Go'},2013-11-04T22:15:27Z
mediapipe,{'login': 'google-ai-edge'},{'totalCount': 28680},{'totalCount': 201},{'totalCount': 5306},{'totalCount': 4931},{'name': 'C++'},2019-06-13T19:16:41Z
server,{'login': 'nextcloud'},{'totalCount': 28670},{'totalCount': 25830},{'totalCount': 19449},{'totalCount': 17234},{'name': 'PHP'},2016-06-02T07:44:14Z
python-guide,{'login': 'realpython'},{'totalCount': 28670},{'totalCount': 683},{'totalCount': 269},{'totalCount': 176},{'name': 'Batchfile'},2011-03-15T03:24:20Z
postcss,{'login': 'postcss'},{'totalCount': 28663},{'totalCount': 745},{'totalCount': 1008},{'totalCount': 984},{'name': 'TypeScript'},2013-09-24T23:06:48Z
CasaOS,{'login': 'IceWhaleTech'},{'totalCount': 28640},{'totalCount': 267},{'totalCount': 1431},{'totalCount': 833},{'name': 'Go'},2021-09-26T02:33:09Z
SpringAll,{'login': 'wuyouzhuguli'},{'totalCount': 28612},{'totalCount': 1},{'totalCount': 48},{'totalCount': 27},{'name': 'Java'},2018-05-02T02:48:44Z
slick,{'login': 'kenwheeler'},{'totalCount': 28604},{'totalCount': 249},{'totalCount': 3613},{'totalCount': 2403},{'name': 'JavaScript'},2014-03-24T02:10:05Z
k9s,{'login': 'derailed'},{'totalCount': 28599},{'totalCount': 736},{'totalCount': 1949},{'totalCount': 1389},{'name': 'Go'},2019-01-25T18:46:02Z
linkedin-skill-assessments-quizzes,{'login': 'Ebazhanov'},{'totalCount': 28573},{'totalCount': 5638},{'totalCount': 890},{'totalCount': 807},,2019-07-13T19:52:56Z
Hello-Python,{'login': 'mouredev'},{'totalCount': 28560},{'totalCount': 0},{'totalCount': 152},{'totalCount': 130},{'name': 'Python'},2022-08-03T17:14:53Z
react-spring,{'login': 'pmndrs'},{'totalCount': 28478},{'totalCount': 429},{'totalCount': 1244},{'totalCount': 1141},{'name': 'TypeScript'},2018-03-07T15:39:32Z
vuex,{'login': 'vuejs'},{'totalCount': 28461},{'totalCount': 656},{'totalCount': 1265},{'totalCount': 1166},{'name': 'JavaScript'},2015-07-16T04:21:26Z
handson-ml2,{'login': 'ageron'},{'totalCount': 28441},{'totalCount': 64},{'totalCount': 514},{'totalCount': 300},{'name': 'Jupyter Notebook'},2019-01-08T03:49:07Z
machine-learning-for-software-engineers,{'login': 'ZuzooVn'},{'totalCount': 28364},{'totalCount': 60},{'totalCount': 26},{'totalCount': 9},,2016-10-09T21:20:25Z
llama3,{'login': 'meta-llama'},{'totalCount': 28360},{'totalCount': 24},{'totalCount': 284},{'totalCount': 118},{'name': 'Python'},2024-03-15T17:57:00Z
android_guides,{'login': 'codepath'},{'totalCount': 28347},{'totalCount': 10},{'totalCount': 379},{'totalCount': 219},,2013-06-19T10:24:45Z
plyr,{'login': 'sampotts'},{'totalCount': 28338},{'totalCount': 384},{'totalCount': 2099},{'totalCount': 1220},{'name': 'JavaScript'},2015-02-14T11:33:07Z
Clone-Wars,{'login': 'GorvGoyl'},{'totalCount': 28323},{'totalCount': 130},{'totalCount': 81},{'totalCount': 70},,2020-12-02T11:10:16Z
xxl-job,{'login': 'xuxueli'},{'totalCount': 28319},{'totalCount': 109},{'totalCount': 3135},{'totalCount': 2484},{'name': 'Java'},2015-11-28T12:59:34Z
Free-Certifications,{'login': 'cloudcommunity'},{'totalCount': 28308},{'totalCount': 115},{'totalCount': 96},{'totalCount': 67},,2020-07-31T10:26:19Z
spring-cloud-alibaba,{'login': 'alibaba'},{'totalCount': 28238},{'totalCount': 1063},{'totalCount': 2441},{'totalCount': 2188},{'name': 'Java'},2017-12-01T20:49:15Z
